CONTROL,rechomes_testers,rhgeo_testers,missing_testers,rechomes_addrs,rhgeo_addrs,missing_addrs,missing_testers_pct,missing_addrs_pct
FW-SB-3703-1,2,2,0,10,9,1,0,10
FW-SB-4002-1,2,1,1,3,2,1,50,33.33333333333333
FW-SH-3401-1,2,2,0,9,8,1,0,11.11111111111111
FW-SH-3405-1,1,1,0,5,4,1,0,20
FW-SH-4001-1,2,2,0,6,5,1,0,16.666666666666664
FW-SH-4422-1,2,2,0,8,6,2,0,25
GB-SB-0502-1,2,2,0,8,7,1,0,12.5
GB-SB-1206-1,1,1,0,3,2,1,0,33.33333333333333
GB-SB-1301-1,2,2,0,6,5,1,0,16.666666666666664
GB-SB-1302-1,2,2,0,8,7,1,0,12.5
GB-SB-1404-1,2,2,0,12,11,1,0,8.333333333333332
HS-SB-4902-1,2,1,1,3,2,1,50,33.33333333333333
HS-SH-4602-1,2,2,0,9,8,1,0,11.11111111111111
HS-SH-5304-1,2,2,0,9,8,1,0,11.11111111111111
KC-SA-5204-1,2,2,0,7,6,1,0,14.285714285714285
KC-SA-5309-1,1,1,0,3,2,1,0,33.33333333333333
KC-SB-5323-1,1,1,0,5,4,1,0,20
KC-SB-5404-1,2,2,0,3,2,1,0,33.33333333333333
KC-SB-5412-1,1,1,0,2,1,1,0,50
LA-SB-3003-1,2,2,0,8,7,1,0,12.5
LA-SH-3602-1,2,2,0,6,5,1,0,16.666666666666664
MI-SB-1307-1,1,1,0,3,2,1,0,33.33333333333333
MI-SB-3310-1,2,1,1,6,4,2,50,33.33333333333333
MI-SB-4160-1,1,1,0,3,2,1,0,33.33333333333333
MI-SB-4161-1,2,1,1,2,1,1,50,50
MI-SB-4212-1,2,2,0,7,6,1,0,14.285714285714285
MI-SB-4609-1,2,2,0,4,2,2,0,50
MI-SH-2310-1,2,2,0,3,2,1,0,33.33333333333333
MI-SH-2507-1,1,1,0,3,2,1,0,33.33333333333333
MI-SH-2710-1,2,2,0,8,7,1,0,12.5
MI-SH-4607-1,2,2,0,10,9,1,0,10
MI-SH-4609-1,2,2,0,7,6,1,0,14.285714285714285
MS-SA-0713-1,2,1,1,2,1,1,50,50
MS-SA-2002-1,2,2,0,8,7,1,0,12.5
MS-SA-2319-1,2,2,0,12,11,1,0,8.333333333333332
MS-SA-2705-1,2,2,0,5,3,2,0,40
MS-SA-3201-1,2,2,0,9,8,1,0,11.11111111111111
MS-SA-3309-1,1,1,0,5,4,1,0,20
MS-SB-1811-1,2,2,0,9,7,2,0,22.22222222222222
MS-SB-2717-1,2,2,0,10,9,1,0,10
MS-SH-3109-1,2,2,0,3,2,1,0,33.33333333333333
MS-SH-3322-1,2,2,0,3,2,1,0,33.33333333333333
NO-SA-1520-1,2,2,0,8,7,1,0,12.5
NO-SA-2208-1,2,2,0,9,8,1,0,11.11111111111111
NO-SA-2405-1,2,2,0,5,4,1,0,20
NO-SA-2502-1,2,2,0,8,7,1,0,12.5
NO-SH-1403-1,2,2,0,5,4,1,0,20
NO-SH-1907-1,2,2,0,5,4,1,0,20
NO-SH-2301-1,2,1,1,4,3,1,50,25
NT-SB-2502-1,2,2,0,10,8,2,0,20
NT-SB-2906-1,2,1,1,10,9,1,50,10
NT-SB-3118-1,2,2,0,5,4,1,0,20
NT-SB-3413-1,1,1,0,5,4,1,0,20
NT-SB-3415-1,2,2,0,7,6,1,0,14.285714285714285
NT-SB-3504-1,2,2,0,9,8,1,0,11.11111111111111
NT-SB-3609-1,2,2,0,5,4,1,0,20
NY-SA-1202-1,2,2,0,14,13,1,0,7.142857142857142
NY-SA-1502-1,2,2,0,8,7,1,0,12.5
NY-SA-1701-1,2,2,0,12,11,1,0,8.333333333333332
NY-SA-2601-1,2,2,0,4,3,1,0,25
