"site","dominant_city","dominant_state","outcome","outcome_label","coefficient","coefficient_label","estimate","se","ci_lo","ci_hi","p","observations","trials"
"AQ","Albuquerque","NM","w2012pc_Rec","White Share","RACE2","African American",-0.00642284316596718,0.0328760388028257,-0.0713290517565132,0.0584833654245789,0.845344332248277,1390,168
"AQ","Albuquerque","NM","w2012pc_Rec","White Share","RACE3","Hispanic",0.0607592961973569,0.0276737249156517,0.00612386482360209,0.115394727571112,0.0295025818349916,1390,168
"AQ","Albuquerque","NM","w2012pc_Rec","White Share","RACE4","Asian",0.00577483837638053,0.0354728062949083,-0.0642580928559388,0.0758077696086999,0.870875718034011,1390,168
"AQ","Albuquerque","NM","percent_black","Black Share","RACE2","African American",-0.00791188795178475,0.00473285390194679,-0.0172558239542552,0.0014320480506857,0.0964571870137955,1390,168
"AQ","Albuquerque","NM","percent_black","Black Share","RACE3","Hispanic",-0.00437399647784208,0.00488670079847727,-0.0140216679399616,0.00527367498427739,0.372031689302719,1390,168
"AQ","Albuquerque","NM","percent_black","Black Share","RACE4","Asian",-0.00304508401556262,0.00499387578660608,-0.0129043479440646,0.00681417991293937,0.542847137930416,1390,168
"AQ","Albuquerque","NM","percent_hispanic","Hispanic Share","RACE2","African American",0.0240068308156242,0.0362884216234112,-0.0476363460718653,0.0956500077031137,0.509167424522053,1390,168
"AQ","Albuquerque","NM","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.0505283842842957,0.0285308097321324,-0.106855933318938,0.0057991647503467,0.0783829738659557,1390,168
"AQ","Albuquerque","NM","percent_hispanic","Hispanic Share","RACE4","Asian",0.0347228692689914,0.0399719295353318,-0.0441925503089861,0.113638288846969,0.386268136522892,1390,168
"AQ","Albuquerque","NM","percent_asian","Asian Share","RACE2","African American",-0.00682673857781962,0.00556775508864525,-0.0178189957451771,0.00416551858953785,0.221879450748761,1390,168
"AQ","Albuquerque","NM","percent_asian","Asian Share","RACE3","Hispanic",-0.00220100212926339,0.00541466030461616,-0.0128910087108397,0.00848900445231296,0.684903469522709,1390,168
"AQ","Albuquerque","NM","percent_asian","Asian Share","RACE4","Asian",0.000193630262338489,0.00735060859233122,-0.0143184627979819,0.0147057233226589,0.979015948906473,1390,168
"AT","Atlanta","GA","w2012pc_Rec","White Share","RACE2","African American",-0.341467660011682,0.0640114890803444,-0.468262100299319,-0.214673219724046,4.86077614625984e-07,804,116
"AT","Atlanta","GA","w2012pc_Rec","White Share","RACE3","Hispanic",-0.203000083719947,0.0784042002230514,-0.358303714775988,-0.047696452663906,0.0108639198931193,804,116
"AT","Atlanta","GA","w2012pc_Rec","White Share","RACE4","Asian",0.167926567522849,0.0218428091969606,0.124660166346615,0.211192968699082,5.51846331681842e-12,804,116
"AT","Atlanta","GA","percent_black","Black Share","RACE2","African American",0.253230549914218,0.0453028464519636,0.163494330028696,0.342966769799739,1.55244186720392e-07,804,116
